Copies,Nickname,Column 3,image,image style,title,title style,attack 01,attack 01 style,damage 01,damage 01 style,Life Points,Life Points style,attack 02,attack 02 style,damage 02,damage 02 style,image background,LP Container,LP,Power Cost 01 Container,Power Cost 01 Container style,Power Cost 01 Image,Power Cost 01 Image style,Power Cost 01,Power Cost 01 style,Power Cost 02 Container,Power Cost 02 Container style,Power Cost 02 Image,Power Cost 02 Image style,Power Cost 02,Power Cost 02 style,film box,film box style,Quote Box Film,Quote Box Film style,Quote Box Text,Quote Box Text style,Card Number,rarity,Card Number 1,Gemstone ,Card Type,Effect,Class
1,,Green Card D.png,grendel02.webp,,Grendel,,"Power: Any number of times during your turn, you may move 1 Emerald Gemstone between your Characters in play.",{fontWeight:bold},,{display:none},90,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Midnight Massacre,,1D10,,,34555_ball_green_icon2.png,90,,{display:none},purple gemstone.png,{display:none},,{display:none},,,green gemstone.png,,4,,,,,,,,001/125,hyper rare,© 2025 Imaginarium.,Emerald,Character,,
1,,Blue Card D.png,moby03.webp,,Moby Dick,,"Power: Any number of times during your turn, you may attach 1 Sapphire Gemstone from your hand to one of your Sapphire Characters.","{width:175px}
{top:261px}
{fontWeight:bold}",,{display:none},120,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Breach - Deal 20 more damage for each additional Sapphire on Moby Dick.,,1D6+,,,34554_ball_blue_icon2.png,120,,{display:none},purple gemstone.png,{display:none},,{display:none},,,blue gemstone.png,,3,,,,,,,,002/125,hyper rare,© 2025 Imaginarium.,Sapphire,Character,,
1,,Purple Card D.png,Mothman02.png,,Mothman,,"Power: While Mothman is your Active Character, your opponent can’t use Action Implement cards.",{fontWeight:bold},,{display:none},90,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Prophetic Gaze – This attack’s damage is applied now and again to your opponent’s Active Character at the end of their next turn.,,2D4,,,34555_ball_purple_icon2.png,90,,{display:none},purple gemstone.png,{display:none},,{display:none},,,purple gemstone.png,,3,,,,,,,,003/125,hyper rare,© 2025 Imaginarium.,Amethyst,Character,,
1,,Red Card D.png,"rapunzel03.webp,38,50,125",,Rapunzel,,"Power: If Rapunzel is your Active Character and Switches, take 1 Ruby Gemstone on her and attach it to the new Active Character.","{fontWeight:bold}
{width:175px}
{fontSize:7px}
{top:255px}",,{display:none},90,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Maiden’s Grace - You may discard any number of Ruby Gemstones on Rapunzel when using this attack. This attack does damage times the number of Ruby Gemstones discarded this way.,"{top:286px}
{width:160px}
{fontSize:7px}
{height:40px}",1D6X,,,34556_ball_red_icon2.png,90,,{display:none},purple gemstone.png,{display:none},,{display:none},,,red gemstone.png,,3,,,,,,,,004/125,hyper rare,© 2025 Imaginarium.,Ruby,Character,,
1,,Yellow Card D.png,"wizard02.png,38,50,117",,The Wizard of Oz,,"Power: Once during your turn, you may change The Wizard's Gemstone type to 1 of your choosing until the end of your turn.","{height:45px}
{fontWeight:bold}",,{display:none},90,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Lights and Mirrors,{top:296px},2D4,,,34557_yellow_ball_icon2.png,90,,{display:none},purple gemstone.png,{display:none},,{display:none},,,yellow gemstone.png,,3,,,,,,,,005/125,hyper rare,© 2025 Imaginarium.,Topaz,Character,,
1,,Green Card D.png,briarrose02.webp,,Briar Rose—Sleeping Beauty,,Enchanted Slumber - Switch Briar Rose with one of your inactive Characters.,,,{display:none},90,"{background:radial-gradient(rgba(156, 204, 60, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Thornveil Curse - This attack does damage times the number of Gemstones on Briar Rose.,,1D4X,,,,90,,,,,1,,,,,,2,,,,,,,,006/125,ultra rare,© 2025 Imaginarium.,Emerald,Character,,
1,,Blue Card D.png,Nemo02.webp,,Captain Nemo,,"Maelstrom Command - This attack does 1D4 damage to each Inactive Character, of both players, that isn't Sapphire.",,2D4,,100,"{background:radial-gradient(rgba(11, 87, 165, 1) 35%, rgba(0, 0, 0, 1) 97%)}",,{display:none},,{display:none},,34554_ball_blue_icon2.png,100,,,blue gemstone.png,,4,,,,blue gemstone.png,{display:none},,{display:none},,,,,,,007/125,ultra rare,© 2025 Imaginarium.,Sapphire,Character,,
1,,Purple Card D.png,"chupacabra02.png,38,50,111",,Chupacabra,,Vital Drain - Remove damage from Chupacabra equal to the damage done to the Defending Character.,,1D4,,60,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Shadow Lurk,,1D6,,,34555_ball_purple_icon2.png,60,,,purple gemstone.png,,2,,,,purple gemstone.png,,2,,,,,,,,008/125,ultra rare,© 2025 Imaginarium.,Amethyst,Character,,
1,,Blue Card D.png,glenda02.webp,,Glinda—The Good Witch,,Blessing Light - The Defending Character is now Disabled.,,1D4,,70,"{background:radial-gradient(rgba(11, 87, 165, 1) 35%, rgba(0, 0, 0, 1) 97%)}","Protective Orb - During your opponent’s next turn, prevent all damage and effects of attacks done to Glinda.",,2D4,,,34554_ball_blue_icon2.png,70,,,blue gemstone.png,,1,,,,blue gemstone.png,,3,,,,,,,,009/125,ultra rare,© 2025 Imaginarium.,Sapphire,Character,,
1,,Red Card D.png,Gatsby02.webp,,Jay Gatsby,,Fixation - Discard 3 Gemstones on Gatsby to use this attack.,,1D10,,100,"{background:radial-gradient(rgba(236, 32, 41, 1) 35%, rgba(0, 0, 0, 1) 97%)}",,{display:none},,{display:none},,34556_ball_red_icon2.png,100,,,red gemstone.png,,3,,,{display:none},red gemstone.png,{display:none},,{display:none},,,,,,,010/125,ultra rare,© 2025 Imaginarium.,Ruby,Character,,
1,,Yellow Card D.png,tintin02.webp,,Snowy,,Spirited Sniff - Draw a card.,,,{display:none},60,"{background:radial-gradient(rgba(247, 238, 35, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Terrier Tackle,,1D6,,,34557_yellow_ball_icon2.png,60,,,yellow gemstone.png,,1,,,,yellow gemstone.png,,2,,,,,,,,011/125,ultra rare,© 2025 Imaginarium.,Topaz,Character,,
1,,Purple Card D.png,Card Images/Absolem02.png,,The Caterpillar,,"Smoke Rings - Flip a coin, if heads prevent all damage done to The Caterpillar during your opponent's next turn.",{width:170px},,{display:none},140,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}","Who Are You? - Flip a coin, if tails The Caterpillar also does the damage to itself.",,2D4,,,34555_ball_purple_icon2.png,140,,,purple gemstone.png,{filter:none},2,,,,purple gemstone.png,,2,,,,,,"""One side will make you grow taller, and the other side will make you grow shorter.""",{display:flex},012/125,ultra rare,© 2025 Imaginarium.,Amethyst,Character,,
1,,Yellow Card D.png,thunderbird02.png,,Thunderbird,,"Sky Guardian's Wrath - Flip a coin, if tails shuffle Thunderbird into your deck and discard all attached cards.",,1D10,,100,"{background:radial-gradient(rgba(11, 87, 165, 1) 35%, rgba(0, 0, 0, 1) 97%)}",,{display:none},,{display:none},,34557_yellow_ball_icon2.png,100,,,yellow gemstone.png,,4,,,,blue gemstone.png,{display:none},,{display:none},,,,,,,013/125,ultra rare,© 2025 Imaginarium.,Topaz,Character,,
1,,Green Card D.png,Don02.webp,,Alonso Quixano—Don Quijote,,"Delusory Strike - Flip a coin, if heads this attack does 2X times the damage.",,1D4,,120,"{background:radial-gradient(rgba(156, 204, 60, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Joust,,1D6,,,,120,,,green gemstone.png,,2,,,,green gemstone.png,,3,,,,,,,,014/125,rare,© 2025 Imaginarium.,Emerald,Character,,
1,,Purple Card D.png,dracula03.webp,,Count Dracula,,"Power: When any attack would deal more than 20 damage to Dracula, prevent that damage (Effects still apply.)","{width:170px}
{top:257px}
{fontWeight:bold}",,{display:none},70,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Blood Taste - Divide the amount of damage on the defending character by 10. This attacks deal deal 1D4 times that that amount (rounded to the nearest 10).,{top:290px},1D4X,,,34555_ball_purple_icon2.png,70,,{display:none},purple gemstone.png,{display:none},,{display:none},,,purple gemstone.png,,2,,,,,,,,015/125,rare,© 2025 Imaginarium.,Amethyst,Character,,
1,,Red Card D.png,dogman02.webp,,Dogman,,Power: Once during your turn you may attach a Ruby Gemstone from your discard pile to 1 of your Ruby Characters in play.,{fontWeight:bold},,{display:none},120,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Stalk and Ambush,,1D10,,,34556_ball_red_icon2.png,120,,{display:none},purple gemstone.png,{display:none},,{display:none},,,red gemstone.png,,4,,,,,,,,016/125,rare,© 2025 Imaginarium.,Ruby,Character,,
1,,Yellow Card D.png,Dorothy02.webp,,Dorothy Gale,,"Power: Once during your turn you may search your deck for a Character card and put it into play, then shuffle your deck.",{fontWeight:bold},,{display:none},70,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Heel Click,,2D4,,,34557_yellow_ball_icon2.png,70,,{display:none},purple gemstone.png,{display:none},,{display:none},,,yellow gemstone.png,,3,,,,,,,,017/125,rare,© 2025 Imaginarium.,Topaz,Character,,
1,,Purple Card D.png,phantom02.webp,,Erik—Phantom of the Opera,,Haunting Aria - Look at the top 3 cards of either player's deck and rearrange them as you like.,,1D4,,90,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}","Abduction - As long as Erik is your Active Character, your opponent can’t switch out their Active Character.",,1D6,,,34555_ball_purple_icon2.png,90,,,purple gemstone.png,{filter:none},1,,,,purple gemstone.png,,3,,,,,,,,018/125,rare,© 2025 Imaginarium.,Amethyst,Character,,
1,,Green Card D.png,gulliver03.webp,,Gulliver,,"Power: Once during your turn you may flip a coin. If heads, choose 1 of your opponents Inactive Characters and switch it with their Active.","{top:262px}
{height:40px}
{fontWeight:bold}",,{display:none},80,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Giant’s Step,,2D4,,,34555_ball_green_icon2.png,80,,{display:none},purple gemstone.png,{display:none},,{display:none},,,green gemstone.png,,3,,,,,,,,019/125,rare,© 2025 Imaginarium.,Emerald,Implement,,
1,,Blue Card D.png,"hG02.png,38,50,115",,Hansel and Gretel,,Power: While Hansel and Gretel are your Active Character their LP is doubled. If they become Inactive and their LP drops to 0 they are Blacked Out.,{fontWeight:bold},,{display:none},70,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Crumb Trail - The defending Character cannot Switch while Hansel and Gretel remain Active.,,1D4,,,34554_ball_blue_icon2.png,70,,{display:none},purple gemstone.png,{display:none},,{display:none},,,blue gemstone.png,,2,,,,,,,,020/125,rare,© 2025 Imaginarium.,Sapphire,Implement,,
1,,Green Card D.png,jackalope02.webp,,Jackalope,,"Power: If an attack damages Jackalope while its your Active Character, flip a coin. If heads, the opponent's Active Character is Disabled; if tails, its Wounded.","{fontWeight:bold}
{width:175px}",,{display:none},90,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}","Mirage - When Jackalope damages the Defending Character, heal Jackalope by half the damage dealt (rounded to the nearest 10th).",,2D4,,,34555_ball_green_icon2.png,90,,{display:none},purple gemstone.png,{display:none},,{display:none},,,green gemstone.png,,3,,,,,,,,021/125,rare,© 2025 Imaginarium.,Emerald,Implement,,
1,,Blue Card D.png,Juliet02.webp,,Juliet Capulet,,"Power: If Romeo Montague is in play, Juliet’s attacks deal 2X damage to the defending Character.",{fontWeight:bold},,{display:none},70,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Secret Vow,,2D4,,,34554_ball_blue_icon2.png,70,,{display:none},purple gemstone.png,{display:none},,{display:none},,,blue gemstone.png,,3,,,,,,,,022/125,rare,© 2025 Imaginarium.,Sapphire,Implement,,
1,,Red Card D.png,Arthur02.webp,,King Arthur,,"Round Table Rally - If Merlin, Morgana le Fay, Sir Lancelot, or Sir Galahad are in play choose 1 of your opponent's Inactive Characters for each. This attack's damage also applies to those chosen.","{top:262px}
{height:43px}",1D6,,100,"{background:radial-gradient(rgba(236, 32, 41, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Camelot's Blessing,,1D10,,,34556_ball_red_icon2.png,100,,,red gemstone.png,,3,,,,red gemstone.png,,4,,,,,,,,023/125,rare,© 2025 Imaginarium.,Ruby,Implement,,
1,,Yellow Card D.png,LJS02.webp,{backgroundSize:cover},Long John Silver,,Power: As often as you like during your turn you may move 10 damage from this Character to another you control.,"{width:175px}
{top:256px}
{fontWeight:bold}",,{display:none},80,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Double Cross - Does 20 damage to each Inactive character on the field. Does damage equal to half the damage taken by the defending Character to itself (rounded to the nearest 10th).,"{height:42px}
{top:286px}",1D10,,,34557_yellow_ball_icon2.png,80,,{display:none},purple gemstone.png,{display:none},,{display:none},,,yellow gemstone.png,,3,,,,,,,,024/125,rare,© 2025 Imaginarium.,Topaz,Implement,,
1,,Purple Card D.png,mogana02.webp,,Morgana le Fay,,Power: Once during your turn you may heal 20 damage from Morgana le Fay,{fontWeight:bold},,{display:none},70,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}","Sorceress' Scheme - Flip a coin, if heads the defending Character is now Disabled.",,2D4,,,34555_ball_purple_icon2.png,70,,{display:none},purple gemstone.png,{display:none},,{display:none},,,purple gemstone.png,,3,,,,,,,,025/125,rare,© 2025 Imaginarium.,Amethyst,Implement,,
